PassengerId,Pclass,Name,Sex,SibSp,Parch,Ticket,Fare,Cabin,Age,Embarked,Survived
1,3,"Braund, Mr. Owen Harris",male,1,0,A/5 21171,7.25,,22,S,0
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,1,0,PC 17599,71.2833,C85,38,C,1
3,3,"Heikkinen, Miss. Laina",female,0,0,STON/O2. 3101282,7.925,,26,S,1
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,0,113803,53.1,C123,35,S,1
5,3,"Allen, Mr. William Henry",male,0,0,373450,8.05,,35,S,0
6,3,"Moran, Mr. James",male,0,0,330877,8.4583,,,Q,0
7,1,"McCarthy, Mr. Timothy J",male,0,0,17463,51.8625,E46,54,S,0
8,3,"Palsson, Master. Gosta Leonard",male,3,1,349909,21.075,,2,S,0
9,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0,2,347742,11.1333,,27,S,1
10,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,1,0,237736,30.0708,,14,C,1
11,3,"Sandstrom, Miss. Marguerite Rut",female,1,1,PP 9549,16.7,G6,4,S,1
12,1,"Bonnell, Miss. Elizabeth",female,0,0,113783,26.55,C103,58,S,1
13,3,"Saundercock, Mr. William Henry",male,0,0,A/5. 2151,8.05,,20,S,0
14,3,"Andersson, Mr. Anders Johan",male,1,5,347082,31.275,,39,S,0
15,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,0,0,350406,7.8542,,14,S,0
16,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,0,0,248706,16,,55,S,1
17,3,"Rice, Master. Eugene",male,4,1,382652,29.125,,2,Q,0
18,2,"Williams, Mr. Charles Eugene",male,0,0,244373,13,,,S,1
19,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,1,0,345763,18,,31,S,0
20,3,"Masselmani, Mrs. Fatima",female,0,0,2649,7.225,,,C,1
21,2,"Fynney, Mr. Joseph J",male,0,0,239865,26,,35,S,0
22,2,"Beesley, Mr. Lawrence",male,0,0,248698,13,D56,34,S,1
23,3,"McGowan, Miss. Anna ""Annie""",female,0,0,330923,8.0292,,15,Q,1
24,1,"Sloper, Mr. William Thompson",male,0,0,113788,35.5,A6,28,S,1
25,3,"Palsson, Miss. Torborg Danira",female,3,1,349909,21.075,,8,S,0
26,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,1,5,347077,31.3875,,38,S,1
27,3,"Emir, Mr. Farred Chehab",male,0,0,2631,7.225,,,C,0
28,1,"Fortune, Mr. Charles Alexander",male,3,2,19950,263,C23 C25 C27,19,S,0
29,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,0,0,330959,7.8792,,,Q,1
30,3,"Todoroff, Mr. Lalio",male,0,0,349216,7.8958,,,S,0
31,1,"Uruchurtu, Don. Manuel E",male,0,0,PC 17601,27.7208,,40,C,0
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,1,0,PC 17569,146.5208,B78,,C,1
33,3,"Glynn, Miss. Mary Agatha",female,0,0,335677,7.75,,,Q,1
34,2,"Wheadon, Mr. Edward H",male,0,0,C.A. 24579,10.5,,66,S,0
35,1,"Meyer, Mr. Edgar Joseph",male,1,0,PC 17604,82.1708,,28,C,0
36,1,"Holverson, Mr. Alexander Oskar",male,1,0,113789,52,,42,S,0
37,3,"Mamee, Mr. Hanna",male,0,0,2677,7.2292,,,C,1
38,3,"Cann, Mr. Ernest Charles",male,0,0,A./5. 2152,8.05,,21,S,0
39,3,"Vander Planke, Miss. Augusta Maria",female,2,0,345764,18,,18,S,0
40,3,"Nicola-Yarred, Miss. Jamila",female,1,0,2651,11.2417,,14,C,1
41,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,1,0,7546,9.475,,40,S,0
42,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,1,0,11668,21,,27,S,0
43,3,"Kraeff, Mr. Theodor",male,0,0,349253,7.8958,,,C,0
44,2,"Laroche, Miss. Simonne Marie Anne Andree",female,1,2,SC/Paris 2123,41.5792,,3,C,1
45,3,"Devaney, Miss. Margaret Delia",female,0,0,330958,7.8792,,19,Q,1
46,3,"Rogers, Mr. William John",male,0,0,S.C./A.4. 23567,8.05,,,S,0
47,3,"Lennon, Mr. Denis",male,1,0,370371,15.5,,,Q,0
48,3,"O'Driscoll, Miss. Bridget",female,0,0,14311,7.75,,,Q,1
49,3,"Samaan, Mr. Youssef",male,2,0,2662,21.6792,,,C,0
50,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,1,0,349237,17.8,,18,S,0
51,3,"Panula, Master. Juha Niilo",male,4,1,3101295,39.6875,,7,S,0
52,3,"Nosworthy, Mr. Richard Cater",male,0,0,A/4. 39886,7.8,,21,S,0
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1,0,PC 17572,76.7292,D33,49,C,1
54,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,1,0,2926,26,,29,S,1
55,1,"Ostby, Mr. Engelhart Cornelius",male,0,1,113509,61.9792,B30,65,C,0
56,1,"Woolner, Mr. Hugh",male,0,0,19947,35.5,C52,,S,1
57,2,"Rugg, Miss. Emily",female,0,0,C.A. 31026,10.5,,21,S,1
58,3,"Novel, Mr. Mansouer",male,0,0,2697,7.2292,,28.5,C,0
59,2,"West, Miss. Constance Mirium",female,1,2,C.A. 34651,27.75,,5,S,1
60,3,"Goodwin, Master. William Frederick",male,5,2,CA 2144,46.9,,11,S,0
61,3,"Sirayanian, Mr. Orsen",male,0,0,2669,7.2292,,22,C,0
62,1,"Icard, Miss. Amelie",female,0,0,113572,80,B28,38,,1
63,1,"Harris, Mr. Henry Birkhardt",male,1,0,36973,83.475,C83,45,S,0
64,3,"Skoog, Master. Harald",male,3,2,347088,27.9,,4,S,0
65,1,"Stewart, Mr. Albert A",male,0,0,PC 17605,27.7208,,,C,0
66,3,"Moubarek, Master. Gerios",male,1,1,2661,15.2458,,,C,1
